Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,RSI,ATR
2010-01-05,35.0,35.0,35.0,35.0,35.0,10000,,0.0,0.0
2010-01-06,35.0,35.0,35.0,35.0,35.0,0,0.0,0.0,0.0
2010-01-07,35.25,35.5,35.0,35.0,35.0,9800,0.0,0.0,0.0
2010-01-08,34.54999923706055,34.54999923706055,33.5,33.5,33.5,32200,-0.04380262265839289,0.0,0.0
2010-01-11,33.5,33.5,33.5,33.5,33.5,3700,0.0,0.0,0.0
2010-01-12,33.5,33.54999923706055,33.5,33.5,33.5,5100,0.0,0.0,0.0
2010-01-13,33.0099983215332,33.0099983215332,32.5,32.75,32.75,226300,-0.022642476749759777,0.0,0.0
2010-01-14,32.75,32.75,32.75,32.75,32.75,150500,0.0,0.0,0.0
2010-01-15,32.5,32.5,32.25,32.25,32.25,45500,-0.015384918839479456,0.0,0.0
2010-01-19,32.25,32.25,31.75,32.0,32.0,19400,-0.007782140442054963,0.0,0.0
2010-01-20,31.5,31.75,31.5,31.75,31.75,600,-0.007843177461025893,0.0,0.0
2010-01-21,31.5,31.600000381469727,31.5,31.600000381469727,31.600000381469727,600,-0.004735592674007455,0.0,0.0
2010-01-22,31.5,31.5,31.5,31.5,31.5,200,-0.0031695868331057756,0.0,0.0
2010-01-25,31.100000381469727,31.25,31.0,31.25,31.25,1300,-0.007968169649176845,0.0,0.0
2010-01-26,31.0,31.0,30.75,30.75,30.75,300,-0.016129381929883644,0.0,32.40642738342285
2010-01-27,30.549999237060547,31.0,30.549999237060547,30.75,30.75,77000,0.0,0.0,30.123825481959752
2010-01-28,31.0,31.0,30.75,30.75,30.75,10400,0.0,0.0,27.989980804676915
2010-01-29,30.850000381469727,30.850000381469727,30.5,30.6299991607666,30.6299991607666,30700,-0.003910100806909551,0.0,26.015696488733543
2010-02-01,30.25,30.5,30.25,30.5,30.5,3500,-0.004253209832251364,0.0,24.175289596681147
2010-02-02,30.5,30.5,30.5,30.5,30.5,600,0.0,0.0,22.448483196918207
